Văn bản,tình trạng,loại bản ghi,Sơ cứu tại nhà (dành cho mèo),Giống loài,Sơ cứu tại nhà,,,,,,,,,,
Mèo của tôi có vẻ như có bọ chét nhưng thuốc nhỏ mắt thông thường của nó không giết chết được.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Điều trị nhiễm trùng thứ phát một cách tích cực.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Tiêm ondansetron để điều trị tình trạng nôn dai dẳng.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
"Thảo luận về việc sử dụng các thiết bị hỗ trợ (ví dụ: Dây an toàn Help'EmUp, xe lăn).",Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Tai chó bị đóng vảy và có mùi như nấm mốc.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Chó gặp khó khăn khi đi tiểu hoặc đi đại tiện.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Bắt đầu điều trị bằng doxycycline cho bệnh anaplasmosis/ehrlichiosis/Lyme.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chuột lang bị gàu và có vẻ không thoải mái khi được vuốt ve.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con lợn,"Giữ lợn ở nơi thoáng mát, sạch sẽ; khuyến khích lợn uống nước; liên hệ với bác sĩ thú y nếu tình trạng không cải thiện.",,,,,,,,,,
Chồn sương bị tiêu chảy có màu xanh lá cây tươi sáng.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
"Mèo con bị hắt hơi và chảy dịch, liệu có phải là giun phổi không?",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con mèo đang liếm lông ở chân.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Mèo của tôi có những khối u dưới da có thể sờ thấy nhưng không dễ nhìn thấy.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Đi khập khiễng ở chi trước; chụp X-quang phát hiện gai xương.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Thỏ bị chảy mủ từ một bên tai.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
"Kê đơn thuốc fenbendazole cho bệnh Giardia, giun đũa, giun móc, giun tóc, một số loại sán dây (Taenia).",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Nghe tim cho thấy có tiếng ồn tăng hoạt.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Viêm da ẩm do nước bọt làm ố các nếp gấp trên mặt; nên vệ sinh hàng ngày bằng khăn lau sát trùng.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Bệnh ruồi đậu (giun tơ) xuất hiện ở thỏ suy nhược. Cắt lông, rửa vết thương, loại bỏ hết giòi bằng tay. Xử lý nguyên nhân cơ bản.",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
"Lớp niêm mạc ống tai của chó trông dày và gồ ghề, giống như đá cuội.",Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Chuột lang gặp khó khăn khi di chuyển sau khi bị ngã.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con lợn,"Giữ lợn ở nơi thoáng mát, sạch sẽ; khuyến khích lợn uống nước; liên hệ với bác sĩ thú y nếu tình trạng không cải thiện.",,,,,,,,,,
Kiểm tra nồng độ tuyến giáp ở những con chó bị nhiễm trùng tái phát.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Thỏ của tôi có bộ lông rối và có vết loét ở phần thân sau.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Chim của tôi bị bệnh Giardia.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chim,Giữ chim ấm áp và ở trong lồng yên tĩnh; tránh căng thẳng; liên hệ ngay với bác sĩ thú y chuyên về chim.,,,,,,,,,,
Nghi ngờ chấn thương mô mềm (bong gân hoặc căng cơ) dựa trên tình trạng sưng/đau tại chỗ và phim chụp X-quang âm tính.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Xuất hiện tụ máu ở vành tai trái; thảo luận về các phương án điều trị (dẫn lưu hay phẫu thuật).,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Thảo luận về vai trò của độ ẩm và hơi nước trong việc làm trầm trọng thêm bệnh viêm tai giữa.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Tiến hành rạch màng nhĩ và lấy dịch tai giữa để nuôi cấy và xét nghiệm tế bào.,Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Có dấu hiệu tiền đình ngoại biên (rung giật nhãn cầu theo chiều ngang pha nhanh khi ra khỏi tổn thương, nghiêng đầu về phía tổn thương, mất điều hòa). Có khả năng bị viêm tai giữa.",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Nội soi kèm sinh thiết được khuyến cáo để chẩn đoán xác định bệnh IBD/u lympho.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Sử dụng Chỉ số đau ngắn hạn ở chó (CBPI) hoặc Chỉ số đau cơ xương ở mèo (FMPI) để theo dõi phản ứng điều trị.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Mèo con mới của tôi có bụng rất tròn và có vẻ như không lớn nhiều.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Mèo gặp khó khăn khi đi cầu thang.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Bộ lông của mèo nhà tôi trông xỉn màu và không được chăm sóc, và còn có vảy.",Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con chó của tôi bị trượt trên băng và đi khập khiễng bằng chân trước kể từ đó.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Viêm da do ánh nắng mặt trời ở lông tơ trắng; khuyên nên tránh nắng và dùng kem chống nắng.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chuột lang bị sưng và đau chân.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con lợn,"Giữ lợn ở nơi thoáng mát, sạch sẽ; khuyến khích lợn uống nước; liên hệ với bác sĩ thú y nếu tình trạng không cải thiện.",,,,,,,,,,
Thỏ bị đỏ và rụng lông ở lòng bàn chân sau.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Tình trạng lichen hóa và tăng sắc tố ở vùng nách và bẹn; những thay đổi dị ứng mãn tính.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Theo xét nghiệm phân, mèo con bị nhiễm giun móc.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con chó liên tục cọ mặt vào thảm.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
Chó con của tôi bị sưng mõm và mặt.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Chó,Ngăn ngừa liếm; vệ sinh bằng thuốc sát trùng nhẹ; tham khảo ý kiến ​​bác sĩ thú y nếu tình trạng trở nên tồi tệ hơn.,,,,,,,,,,
Sử dụng hệ thống chấm điểm cơn đau đã được xác nhận (ví dụ: Thang điểm đau cấp tính ở chó CSU) để hướng dẫn liệu pháp giảm đau.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Chó,Ngừng cho ăn trong 12 giờ; cung cấp lượng nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng vẫn tiếp diễn.,,,,,,,,,,
Đã xác nhận bị loạn sản xương hông; bắt đầu dùng thuốc chống viêm.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Đã loại bỏ ve Dermacentor variabilis; khuyên nên theo dõi các dấu hiệu của RMSF.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Các đoạn sán dây (Dipylidium caninum) được quan sát thấy ở tầng sinh môn; liên quan đến tình trạng nhiễm bọ chét.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi bị teo cơ đáng kể ở phần sau.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Xét nghiệm vết thương cho thấy tế bào acantholytic; nghi ngờ bệnh pemphigus.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Mèo bị viêm và tiết dịch quanh móng.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi bị nhiễm ghẻ tai và được xác nhận bằng xét nghiệm dưới kính hiển vi.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Đã xác định được bệnh rận mu (Linognathus setosus - rận hút máu chó). Điều trị bằng fipronil hoặc selamectin.,Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Mèo liên tục nôn ra một lượng nhỏ mật.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Chó của tôi bị sốt thung lũng ảnh hưởng đến xương.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
"Kết quả xét nghiệm tế bào học được ghi nhận: Điểm nấm men (0-4+), Điểm cầu khuẩn (0-4+), Điểm que (0-4+), Loại tế bào (bạch cầu trung tính, tế bào biểu mô).",Nhiễm trùng tai,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Chó của tôi bị sán dây, có thể là do bọ chét.",Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Chó đã phát triển khả năng kháng thuốc điều trị tai trước đó.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Nghi ngờ u tế bào mast dựa trên nốt sần đỏ, nổi lên; FNA cho thấy tế bào mast dạng hạt.",Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
"Loại tài liệu về loại ve đã loại bỏ, ngày tháng và vị trí trên bệnh nhân.",Ký sinh trùng,Ghi chú lâm sàng,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Lưu ý về tình trạng da mỏng manh; xét nghiệm FIV/FeLV ở bệnh nhân mèo.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chó của tôi bị nhiễm trùng da thứ phát do gãi vết cắn của bọ chét.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Có những vật nhỏ màu trắng trông giống như hạt gạo dính vào lông xung quanh hậu môn của chó tôi.,Ký sinh trùng,Quan sát của chủ sở hữu,"Cách ly mèo, vệ sinh hộp vệ sinh và lên lịch tẩy giun cho mèo theo lịch hẹn của bác sĩ thú y.",Chó,Giữ cho chó bình tĩnh và an toàn; quan sát và liên hệ với bác sĩ thú y.,,,,,,,,,,
Mèo đã bắt đầu đi vệ sinh bên ngoài hộp vệ sinh.,Các vấn đề về khả năng di chuyển,Quan sát của chủ sở hữu,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Loại trừ chứng cường vỏ thượng thận bằng xét nghiệm kích thích ACTH hoặc LDDST.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Chồn sương đã giảm rất nhiều cân trong tháng qua.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Nghi ngờ bệnh não gan do các dấu hiệu thần kinh và rối loạn chức năng gan.,Các vấn đề về tiêu hóa,Ghi chú lâm sàng,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Thảo luận về việc quản lý cân nặng; béo phì làm trầm trọng thêm các vấn đề về khả năng vận động.,Các vấn đề về khả năng di chuyển,Ghi chú lâm sàng,"Giữ mèo ở nơi mềm mại, yên tĩnh; hạn chế di chuyển và liên hệ ngay với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con mèo của tôi chống lại tôi và kêu khi tôi cố nhỏ thuốc vào tai.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Con mèo của tôi có những vết sưng dọc theo cột sống.,Kích ứng da,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Đảm bảo chủ sở hữu hiểu rõ kế hoạch điều trị và các yêu cầu theo dõi.,Kích ứng da,Ghi chú lâm sàng,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Mèo bị sụt cân mặc dù ăn rất ngon miệng.,Các vấn đề về tiêu hóa,Quan sát của chủ sở hữu,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",Con mèo,"Không cho ăn trong vòng 12 giờ, cho uống từng ngụm nước nhỏ; đưa đến bác sĩ thú y nếu tình trạng nôn vẫn tiếp diễn.",,,,,,,,,,
Con chồn có vẻ đau đớn khi vùng hàm của nó bị chạm vào.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
Thỏ của tôi có lớp vảy dày và bong tróc ở cả hai tai.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con thỏ,Giữ thỏ ấm áp và yên tĩnh; tránh tiếp xúc quá nhiều; nhanh chóng tham khảo ý kiến ​​bác sĩ thú y chuyên khoa thú y.,,,,,,,,,,
Vành tai trong của con chồn sương của tôi trông đỏ và bị kích ứng.,Nhiễm trùng tai,Quan sát của chủ sở hữu,"Giữ mèo bình tĩnh, theo dõi các triệu chứng và liên hệ với bác sĩ thú y.",Con mèo,"Giữ mèo bình tĩnh, ấm áp và liên hệ với bác sĩ thú y.",,,,,,,,,,
